Subsystem,File,Symbol,Type,Parameters,Returns,Description
backend,backend/activity/apps.py,ActivityConfig,class,,instance,
backend,backend/activity/models.py,Meta,class,,instance,
backend,backend/activity/models.py,UserActivity,class,,instance,Reflects existing 'user_activity' table.
backend,backend/activity/views.py,add_activity,function,request,,POST /api/activity — log a new activity (no auth).
backend,backend/activity/views.py,get_activity,function,request; userId,,GET /api/activity/:userId — returns up to 50 activity records (no auth).
backend,backend/admin_api/views.py,_create_user,function,request,,
backend,backend/admin_api/views.py,_delete_user,function,id,,
backend,backend/admin_api/views.py,_get_all_users,function,request,,
backend,backend/admin_api/views.py,_get_single_user,function,id,,
backend,backend/admin_api/views.py,_update_user,function,request; id,,
backend,backend/admin_api/views.py,user_detail,function,request; id,,GET    /api/admin/users/:id
backend,backend/admin_api/views.py,user_status,function,request; id,,PUT /api/admin/users/:id/status — toggle is_active.
backend,backend/admin_api/views.py,users_list,function,request,,GET  /api/admin/users — list all users (supports ?search=)
backend,backend/auth_api/authentication.py,CsrfExemptSessionAuthentication,class,,instance,SessionAuthentication that ignores CSRF check.
backend,backend/auth_api/authentication.py,enforce_csrf,function,request,,
backend,backend/auth_api/backends.py,BcryptAuthBackend,class,,instance,Authenticates against existing bcrypt password hashes in the users table.
backend,backend/auth_api/backends.py,authenticate,function,request; username; password,,
backend,backend/auth_api/backends.py,get_user,function,user_id,,
backend,backend/auth_api/models.py,Meta,class,,instance,
backend,backend/auth_api/models.py,User,class,,instance,Custom user model mapping to the existing 'users' table.
backend,backend/auth_api/models.py,UserManager,class,,instance,
backend,backend/auth_api/models.py,create_superuser,function,username; password; **extra_fields,,
backend,backend/auth_api/models.py,create_user,function,username; password; **extra_fields,,
backend,backend/auth_api/permissions.py,IsAdminRole,class,,instance,Allow access only to authenticated users with role='admin'.
backend,backend/auth_api/permissions.py,has_permission,function,request; view,,
backend,backend/auth_api/utils.py,hash_password,function,plain_password: str,str,Hash a password using bcrypt (rounds=12).
backend,backend/auth_api/utils.py,verify_password,function,plain_password: str; hashed_password: str,bool,Verify a plain password against a bcrypt hash.
backend,backend/auth_api/views.py,login,function,request,,POST /api/auth/login
backend,backend/auth_api/views.py,logout,function,request,,POST /api/auth/logout
backend,backend/auth_api/views.py,register,function,request,,POST /api/auth/register
backend,backend/bookmarks/models.py,Bookmark,class,,instance,Reflects existing 'bookmarks' table.
backend,backend/bookmarks/models.py,Meta,class,,instance,
backend,backend/bookmarks/views.py,bookmarks_list,function,request,,GET  /api/bookmarks — get all bookmarks for authenticated user
backend,backend/bookmarks/views.py,delete_bookmark,function,request; id,,DELETE /api/bookmarks/:id — delete bookmark owned by authenticated user.
backend,backend/content/admin_views.py,_get_departments,function,,,Get distinct departments from users table.
backend,backend/content/admin_views.py,_is_htmx,function,request,,
backend,backend/content/admin_views.py,_render,function,request; template; context,,Render partial for HTMX or wrap in base for full-page loads.
backend,backend/content/admin_views.py,activities,function,request,,
backend,backend/content/admin_views.py,add_group,function,request,,
backend,backend/content/admin_views.py,add_user,function,request,,
backend,backend/content/admin_views.py,admin_required,function,view_func,,Decorator: require authenticated user with admin role.
backend,backend/content/admin_views.py,dashboard,function,request,,
backend,backend/content/admin_views.py,edit_user,function,request; pk,,
backend,backend/content/admin_views.py,group_detail,function,request; pk,,Group detail page with member list.
backend,backend/content/admin_views.py,list_groups,function,request,,
backend,backend/content/admin_views.py,list_users,function,request,,
backend,backend/content/admin_views.py,toggle_user,function,request; pk,,Toggle user active/inactive status.
backend,backend/content/admin_views.py,user_select,function,request,,User selection panel for adding users to groups.
backend,backend/content/admin_views.py,wrapper,function,request; *args; **kwargs,,
backend,backend/content/api_views.py,_block_dict,function,b; leaf_xml_id,,
backend,backend/content/api_views.py,_doc_order_pks,function,document; navigable_pks,,Return navigable PKs in XML document order via depth-first traversal.
backend,backend/content/api_views.py,_get_breadcrumbs,function,node,,
backend,backend/content/api_views.py,_get_prev_next,function,node,,
backend,backend/content/api_views.py,_serialize_media,function,m,,Serialize a Media instance into the frontend MediaItem shape.
backend,backend/content/api_views.py,_strip_html,function,text,,
backend,backend/content/api_views.py,content_documents,function,request,,List all documents (for document switcher / initial load).
backend,backend/content/api_views.py,content_search,function,request,,"Full-text search across content blocks, media, or nodes."
backend,backend/content/api_views.py,content_topic,function,request; pk,,"Return full topic content: node metadata, blocks, breadcrumbs, prev/next, media."
backend,backend/content/api_views.py,content_tree,function,request; doc_id,,Return flat list of all ContentNodes for a document (SPA builds the tree).
backend,backend/content/api_views.py,document_index,function,request; doc_id,,Return ALL figures and tables for an entire document.
backend,backend/content/api_views.py,resolve_xref,function,request,,Resolve an xml_id (xref target) to a navigable node PK.
backend,backend/content/api_views.py,walk,function,pk,,
backend,backend/content/management/commands/import_xml.py,Command,class,,instance,
backend,backend/content/management/commands/import_xml.py,_copy_media,function,dest_dir: Path,,Copy media files from XML source directory to MEDIA_ROOT.
backend,backend/content/management/commands/import_xml.py,_element_text_content,function,el,str,"Get all text content from an element, stripping tags."
backend,backend/content/management/commands/import_xml.py,_esc,function,text: str,str,Escape HTML special characters.
backend,backend/content/management/commands/import_xml.py,_esc_attr,function,text: str,str,Escape for HTML attribute values.
backend,backend/content/management/commands/import_xml.py,_extract_hotspots,function,fig_el; media_obj,,Queue hotspot records from a <figure>'s <hotspots>.
backend,backend/content/management/commands/import_xml.py,_extract_table_media,function,tbl_el; block,,Create Media records for inline graphics in table cells.
backend,backend/content/management/commands/import_xml.py,_extract_xrefs_from_element,function,el; node; block_order,,Walk element tree and queue xref records for batch creation.
backend,backend/content/management/commands/import_xml.py,_import_block,function,el; node: ContentNode; order: int,int,Import a block element. Returns the next order value.
backend,backend/content/management/commands/import_xml.py,_import_document,function,xml_path: Path; clear: bool; media_dest: str,Document,
backend,backend/content/management/commands/import_xml.py,_import_global_assets,function,master_path: Path,None,Copy any <global-assets> referenced in master.xml to MEDIA_ROOT/_global/.
backend,backend/content/management/commands/import_xml.py,_import_leaf,function,el; parent; order,ContentNode,
backend,backend/content/management/commands/import_xml.py,_import_leaf_from_section,function,el; parent; order,ContentNode,Import a <section> element inside a leaf-group as a LEAF node.
backend,backend/content/management/commands/import_xml.py,_import_leaf_group,function,el; parent; order,ContentNode,
backend,backend/content/management/commands/import_xml.py,_import_model3d,function,el; node: ContentNode; order: int,int,Import a <model3d> element: create ContentBlock + Media + MeshHotspot records.
backend,backend/content/management/commands/import_xml.py,_import_pdf,function,el; node: ContentNode; order: int,int,Import a <pdf> element: create ContentBlock + Media record.
backend,backend/content/management/commands/import_xml.py,_import_section,function,el; parent; order,ContentNode,
backend,backend/content/management/commands/import_xml.py,_import_video,function,el; node: ContentNode; order: int,int,Import a <video> element: create ContentBlock + Media record.
backend,backend/content/management/commands/import_xml.py,_list_html_tag,function,list_type: str,"tuple[str, str]","Return (tag, attrs) for an HTML list based on IETM list type."
backend,backend/content/management/commands/import_xml.py,_list_to_json,function,el,dict,Convert <list> to a JSON-serializable structure.
backend,backend/content/management/commands/import_xml.py,_parse_master,function,master_path: Path,list[Path],Parse master.xml and return paths to each ietm_output.xml.
backend,backend/content/management/commands/import_xml.py,_render_emphasis,function,el,str,"Render <emphasis type=""bold italic underline""> to HTML tags."
backend,backend/content/management/commands/import_xml.py,_render_figure,function,el; node; order,"tuple[str, Media | None]",Render a <figure> element and create Media record.
backend,backend/content/management/commands/import_xml.py,_render_inline,function,el,str,"Render inline content (text, emphasis, xref, unresolved) to HTML."
backend,backend/content/management/commands/import_xml.py,_render_list,function,el,str,Render a <list> element to HTML.
backend,backend/content/management/commands/import_xml.py,_render_list_item,function,el,str,Render an <item> element to HTML <li>.
backend,backend/content/management/commands/import_xml.py,_render_para,function,el,str,Render a <para> element to HTML.
backend,backend/content/management/commands/import_xml.py,_render_table,function,el,str,Render a CALS <table> element to HTML.
backend,backend/content/management/commands/import_xml.py,_render_table_row,function,row_el; col_count: int,str,Render a CALS <row> to an HTML <tr>.
backend,backend/content/management/commands/import_xml.py,_resolve_xrefs,function,,,Batch-create CrossReference and Hotspot records with resolved FKs.
backend,backend/content/management/commands/import_xml.py,_row_to_json,function,row_el,list,
backend,backend/content/management/commands/import_xml.py,_table_to_json,function,el,dict,Convert CALS <table> to a JSON structure.
backend,backend/content/management/commands/import_xml.py,add_arguments,function,parser,,
backend,backend/content/management/commands/import_xml.py,handle,function,*args; **options,,
backend,backend/content/management/commands/prepare_deployment.py,Command,class,,instance,
backend,backend/content/management/commands/prepare_deployment.py,_copy_backend,function,dst: Path,,
backend,backend/content/management/commands/prepare_deployment.py,_log,function,msg: str,,
backend,backend/content/management/commands/prepare_deployment.py,_package,function,artifact: Path; target: str; master_xml: str; include_wheels,,
backend,backend/content/management/commands/prepare_deployment.py,_package_docker,function,artifact: Path,,
backend,backend/content/management/commands/prepare_deployment.py,_package_standalone,function,artifact: Path; include_wheels,,
backend,backend/content/management/commands/prepare_deployment.py,_phase1,function,inputs; master_xml,,
backend,backend/content/management/commands/prepare_deployment.py,_phase2,function,target; master_xml; skip_frontend; skip_embeddings; include_wheels,,
backend,backend/content/management/commands/prepare_deployment.py,_run,function,cmd; cwd: Path; shell_on_windows: bool,,
backend,backend/content/management/commands/prepare_deployment.py,_write_readme,function,artifact: Path; target: str,,
backend,backend/content/management/commands/prepare_deployment.py,add_arguments,function,parser,,
backend,backend/content/management/commands/prepare_deployment.py,handle,function,*args; **opts,,
backend,backend/content/models.py,ContentBlock,class,,instance,"A content block within a node: paragraph, list, figure, table, or media."
backend,backend/content/models.py,ContentNode,class,,instance,"Hierarchical node: section, leaf-group, or leaf."
backend,backend/content/models.py,CrossReference,class,,instance,Resolved cross-reference linking text to a target figure/table/section.
backend,backend/content/models.py,Document,class,,instance,Top-level IETM document (maps to <ietm> + <identInfo>).
backend,backend/content/models.py,Hotspot,class,,instance,"Clickable region on an image, linking to a target content node."
backend,backend/content/models.py,Media,class,,instance,"Media file attached to a content block (image, 3D model, video, PDF)."
backend,backend/content/models.py,MeshHotspot,class,,instance,"Clickable mesh region on a 3D model, linking to a target content node."
backend,backend/content/models.py,Meta,class,,instance,
backend,backend/content/models.py,Meta,class,,instance,
backend,backend/content/models.py,Meta,class,,instance,
backend,backend/content/models.py,Meta,class,,instance,
backend,backend/content/models.py,Meta,class,,instance,
backend,backend/content/models.py,Meta,class,,instance,
backend,backend/content/models.py,Meta,class,,instance,
backend,backend/content/views.py,_annotate_tree_nodes,function,qs,,"Annotate tree nodes with has_content, children_exist, and grandchildren_exist flags."
backend,backend/content/views.py,_get_breadcrumbs,function,node,,Walk up parent chain to build breadcrumb list (root first).
backend,backend/content/views.py,_get_prev_next,function,node,,Get previous/next navigable nodes by path ordering within the same document.
backend,backend/content/views.py,_is_htmx,function,request,,
backend,backend/content/views.py,_strip_html,function,text,,Quick HTML tag removal for search snippets.
backend,backend/content/views.py,dashboard,function,request,,User dashboard partial.
backend,backend/content/views.py,document_tree,function,request; doc_id,,Load tree for a specific document (HTMX partial).
backend,backend/content/views.py,home,function,request,,Home screen partial (HTMX target).
backend,backend/content/views.py,login_view,function,request,,Session-based login.
backend,backend/content/views.py,logout_view,function,request,,Logout and redirect to login.
backend,backend/content/views.py,search,function,request,,Full-text search across content blocks (HTMX partial).
backend,backend/content/views.py,topic_by_xml_id,function,request; xml_id,,Resolve an xml_id to a topic and redirect/render.
backend,backend/content/views.py,topic_detail,function,request; pk,,"Single topic/section content. Returns partial for HTMX, full page otherwise."
backend,backend/content/views.py,tree_children,function,request; pk,,Expand a tree node — return its children (HTMX partial).
backend,backend/content/views.py,user_bookmarks,function,request,,User bookmarks list (HTMX partial).
backend,backend/content/views.py,user_notes,function,request,,User notes list (HTMX partial).
backend,backend/content/views.py,viewer,function,request,,Main viewer page — full page load with tree + home screen.
backend,backend/content/views_global.py,_find_asset,function,prefix: str,Optional[Path],Return the first file in MEDIA_ROOT/_global/ whose stem equals *prefix*.
backend,backend/content/views_global.py,abbreviations,function,request,,
backend,backend/content/views_global.py,prepages,function,request,,
backend,backend/groups_api/models.py,Department,class,,instance,
backend,backend/groups_api/models.py,GroupUser,class,,instance,Maps to 'group_users' join table.
backend,backend/groups_api/models.py,Meta,class,,instance,
backend,backend/groups_api/models.py,Meta,class,,instance,
backend,backend/groups_api/models.py,Meta,class,,instance,
backend,backend/groups_api/models.py,UserGroup,class,,instance,Maps to 'groups' table. Named UserGroup to avoid clash with django.auth.Group.
backend,backend/groups_api/views.py,_admin_check,function,request,,"Return 403 Response if not admin, None otherwise."
backend,backend/groups_api/views.py,_create_group,function,request,,
backend,backend/groups_api/views.py,_delete_group,function,id,,
backend,backend/groups_api/views.py,_get_all_groups,function,,,
backend,backend/groups_api/views.py,_get_group_by_id,function,id,,
backend,backend/groups_api/views.py,_update_group,function,request; id,,
backend,backend/groups_api/views.py,assign_users,function,request; id,,POST /api/groups/:id/assign — replace all group memberships.
backend,backend/groups_api/views.py,get_departments,function,request,,GET /api/departments — list all departments (admin only).
backend,backend/groups_api/views.py,group_detail,function,request; id,,GET    /api/groups/:id — get group with members
backend,backend/groups_api/views.py,groups_list,function,request,,GET  /api/groups/ — list all groups with user counts
backend,backend/ietm_backend/serve_spa.py,serve_react,function,request,,
backend,backend/ietm_backend/views.py,dbtest,function,request,,"GET /dbtest — database connectivity check, no auth."
backend,backend/ietm_backend/views.py,health,function,request,,"GET /health — simple health check, no auth."
backend,backend/ietm_backend/views.py,image_hotspots,function,request; imageName,,GET /api/image-hotspots/:imageName — image hotspot data.
backend,backend/ietm_backend/views.py,model_hotspots,function,request; modelName,,GET /api/model-hotspots/:modelName — 3D model hotspot data.
backend,backend/ietm_backend/views.py,print_logs,function,request,,"POST /api/printLogs — log a print action (no auth, best-effort)."
backend,backend/ietm_backend/views.py,protected,function,request,,GET /protected — returns authenticated user info.
